date,time,date_from,date_to,canton,source,count,url
,,2020-10-19,2020-10-25,SH,"Arbeit",15,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-19,2020-10-25,SH,"Ausland",1,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-19,2020-10-25,SH,"Familie",59,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-19,2020-10-25,SH,"Private Veranstaltung",20,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-19,2020-10-25,SH,"Unbekannt",100,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-19,2020-10-25,SH,"Öffentliche Veranstaltung",18,https://sh.ch/CMS/get/file/0807e77a-9d59-4238-a356-3533048e2a09
,,2020-10-26,2020-11-01,SH,"Arbeit",34,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-10-26,2020-11-01,SH,"Ausland",0,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-10-26,2020-11-01,SH,"Familie",56,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-10-26,2020-11-01,SH,"Private Veranstaltung",21,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-10-26,2020-11-01,SH,"Unbekannt",118,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-10-26,2020-11-01,SH,"Öffentliche Veranstaltung",10,https://sh.ch/CMS/get/file/d4cc4589-4707-4df0-a35e-a9a0f848afbf
,,2020-11-09,2020-11-15,SH,"Arbeit",36,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-09,2020-11-15,SH,"Ausland",1,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-09,2020-11-15,SH,"Familie / Eigener Haushalt",103,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-09,2020-11-15,SH,"Private Veranstaltung",5,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-09,2020-11-15,SH,"Unbekannt",110,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-09,2020-11-15,SH,"Öffentliche Veranstaltung",1,https://sh.ch/CMS/get/file/8d0911ad-d8cd-4553-8a63-82cb14ce6989
,,2020-11-16,2020-11-22,SH,"Arbeit",50,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-16,2020-11-22,SH,"Ausland",3,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-16,2020-11-22,SH,"Familie / Eigener Haushalt",130,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-16,2020-11-22,SH,"Private Veranstaltung",6,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-16,2020-11-22,SH,"Unbekannt",97,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-16,2020-11-22,SH,"Öffentliche Veranstaltung",3,https://sh.ch/CMS/get/file/6fd5e0b4-a550-4e92-8393-a50579b895e7
,,2020-11-23,2020-11-30,SH,"Arbeit",60,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-23,2020-11-30,SH,"Ausland",2,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-23,2020-11-30,SH,"Familie / Eigener Haushalt",93,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-23,2020-11-30,SH,"Private Veranstaltung",19,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-23,2020-11-30,SH,"Unbekannt",103,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-23,2020-11-30,SH,"Öffentliche Veranstaltung",3,https://sh.ch/CMS/get/file/ce43646f-752e-45ab-ab5f-5d0b2a378e57
,,2020-11-30,2020-12-06,SH,"Arbeit",57,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-11-30,2020-12-06,SH,"Ausland",2,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-11-30,2020-12-06,SH,"Familie / Eigener Haushalt",120,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-11-30,2020-12-06,SH,"Private Veranstaltung",17,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-11-30,2020-12-06,SH,"Unbekannt",99,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-11-30,2020-12-06,SH,"Öffentliche Veranstaltung",4,https://sh.ch/CMS/get/file/f392ff41-6896-490b-939e-46d11425e1eb
,,2020-12-14,2020-12-20,SH,"Arbeit",46,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-14,2020-12-20,SH,"Ausland",1,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-14,2020-12-20,SH,"Familie / Eigener Haushalt",104,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-14,2020-12-20,SH,"Private Veranstaltung",17,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-14,2020-12-20,SH,"Unbekannt",103,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-14,2020-12-20,SH,"Öffentliche Veranstaltung",2,https://sh.ch/CMS/get/file/f93f6918-0dba-4335-a198-88bcf1303b50
,,2020-12-28,2020-01-03,SH,"Arbeit",16,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
,,2020-12-28,2020-01-03,SH,"Ausland",1,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
,,2020-12-28,2020-01-03,SH,"Familie / Eigener Haushalt",79,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
,,2020-12-28,2020-01-03,SH,"Private Veranstaltung",7,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
,,2020-12-28,2020-01-03,SH,"Unbekannt",54,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
,,2020-12-28,2020-01-03,SH,"Öffentliche Veranstaltung",0,https://sh.ch/CMS/get/file/0d8f57ed-4c29-488a-bf0f-66e6a4deb85b
